abster-se； abstain/棄權； v. r.；Nas assembleias, muitos cidadãos decidiram abster-se da votação.; de
obsidiado；困擾的；adjetivo；Vivia obsidiado pela ideia de vingança.；obsidiado por
parco；吝嗇的；adjetivo；Era tão parco que nem um copo de água oferecia.；parco com
rédea；駕馭、控制；verbo transitivo；Conseguiu rédea o cavalo selvagem.；rédea de
sanguíneo；血的、血色的；adjetivo；O tom sanguíneo da sua pele indicava febre.；sanguíneo como
taloneira；鞋跟、鞋後跟；substantivo feminino；A taloneira do sapato estava gasta.；taloneira de
utensílio；工具、器具；substantivo masculino；Cada utensílio tem a sua função específica.；utensílio de
verga；藤條、彎曲；substantivo feminino；A verga da porta cedeu com o peso.；verga de
adstringente；收斂的、嚴厲的；adjetivo；O seu comentário adstringente magoou os colegas.；adstringente com
brenha；茂密叢林、困境；substantivo feminino；Meteu-se numa brenha de problemas.；brenha de
chocarrice；粗俗笑話；substantivo feminino；As suas chocarrices eram ofensivas.；chocarrice sobre
desassisado；魯莽的；adjetivo；O jovem desassisado meteu-se em confusões.；desassisado em
escarpa；陡坡、峭壁；substantivo feminino；A escarpa era tão íngreme que ninguém ousava descer.；escarpa de
fungo；真菌；substantivo masculino；O fungo crescia na humidade do banheiro.；fungo em
garrida；華麗的；adjetivo；A roupa garrida da noiva chamava a atenção.；garrida em
imprecisão；不精確、模糊；substantivo feminino；A imprecisão dos dados comprometeu a investigação.；imprecisão de
lançamento；發射、發行；substantivo masculino；O lançamento do livro foi um sucesso.；lançamento de
murcho；枯萎的、無精打采的；adjetivo；A planta estava murcha por falta de água.；murcho de
nitrato；硝酸鹽；substantivo masculino；O nitrato é usado como fertilizante.；nitrato de
obsolescência；過時、廢棄；substantivo feminino；A obsolescência programada é uma estratégia comercial.；obsolescência de
pardacento；灰褐色的；adjetivo；O céu pardacento anunciava chuva.；pardacento como
régio；王室的、豪華的；adjetivo；O palácio régio era imponente.；régio de
sanguessuga；水蛭、吸血鬼；substantivo feminino；O agiota é uma sanguessuga social.；sanguessuga de
taluda；高大的；adjetivo；A figura taluda do guarda intimidava os miúdos.；taluda como
utopia；烏托邦、理想國；substantivo feminino；A sua visão de uma sociedade perfeita era uma utopia.；utopia de
vergasta；鞭子、鞭打；substantivo feminino；A vergasta do capataz era temida.；vergasta de
advento；到來、降臨；substantivo masculino；Com o advento da internet, o mundo mudou.；advento de
breve；簡短的、短暫的；adjetivo；A sua passagem pela empresa foi breve.；breve em
choldra；賤民、烏合之眾；substantivo feminino；Não te juntes a essa choldra.；choldra de
desassossego；不安、煩躁；substantivo masculino；O desassossego tomou conta do seu coração.；desassossego com
escarumba；陷阱、困境；substantivo feminino；Caiu na escarumba que ele próprio criou.；escarumba de
fungível；消耗性的；adjetivo；Material fungível deve ser reposto regularmente.；fungível em
garrido；鮮豔的；adjetivo；O pássaro garrido voou para longe.；garrido como
imprecação；詛咒；substantivo feminino；As imprecações do profeta caíram no vazio.；imprecação contra
lançar mão；使用、利用；verbo transitivo；Lançou mão de todos os recursos disponíveis.；lançar mão de
murmurinho；低語、喃喃聲；substantivo masculino；Ouviu-se um murmurinho na plateia.；murmurinho de
nitroso；含氮的；adjetivo；O composto nitroso era altamente reativo.；nitroso como
obséquio；禮物；substantivo masculino；Aceitou o obséquio com gratidão.；obséquio de
parco；不足的；adjetivo；A colheita foi parca este ano.；parco em
régua；尺子、準則；substantivo feminino；Usou a régua para medir a mesa.；régua de
sanguinário；嗜血的、殘暴的；adjetivo；O ditador sanguinário aterrorizava o povo.；sanguinário com
tamanca；木底鞋；substantivo feminino；As taman cas faziam barulho no chão.；tamanca de
utópico；烏托邦的、不切實際的；adjetivo；O seu plano utópico não era exequível.；utópico como
verga；彎曲、屈服；verbo transitivo；A árvore vergou com o vento forte.；vergar com
advertência；警告、告誡；substantivo feminino；Recebeu uma advertência por mau comportamento.；advertência de
bridão；馬嚼子、限制；substantivo masculino；O bridão controlava o cavalo.；bridão de
choupana；茅屋、簡陋小屋；substantivo feminino；Vivia numa choupana no meio do bosque.；choupana de
desastrado；笨拙的、不幸的；adjetivo；O seu movimento desastrado derrubou o vaso.；desastrado em
escarumba；困境；substantivo feminino；Estava metido numa escarumba sem saída.；escarumba de
funesto；悲慘的、致命地；adjetivo；O desfecho funesto do acidente comoveu a todos.；funesto para
garridice；華麗、花俏；substantivo feminino；A garridice das suas roupas era exagerada.；garridice de
imprescindível；不可或缺的；adjetivo；A sua ajuda foi imprescindível para o projeto.；imprescindível para
lançar；投擲；verbo transitivo；Lançou a bola com precisão.；lançar a
murmurar；低語、抱怨；verbo intransitivo；Murmurava palavras de protesto.；murmurar contra
nível；水平、程度；substantivo masculino；O nível de exigência era muito alto.；nível de
obsessão；執念、著迷；substantivo feminino；A sua obsessão pelo trabalho prejudicou a saúde.；obsessão por
pardal；麻雀；substantivo masculino；O pardal cantava no telhado.；pardal de
régulo；小國王、暴君；substantivo masculino；O régulo governava com mão de ferro.；régulo de
sanguíneo；多血質的；adjetivo；Era do tipo sanguíneo, sempre cheio de energia.；sanguíneo como
tamancada；木鞋聲；substantivo feminino；Ouviu-se a tamancada na rua de paralelepípedos.；tamancada de
utópico；理想化的；adjetivo；A sua visão utópica ignorava a realidade.；utópico em
vergalha；陰莖；substantivo masculino；Termo vulgar.；vergalha de
advocacia；律師業、辯護；substantivo feminino；A advocacia exige integridade.；advocacia de
brilhante；閃亮的、傑出的；adjetivo；Teve uma carreira brilhante como cientista.；brilhante em
choupana；小屋；substantivo feminino；A choupana do pastor ficava no alto da serra.；choupana de
desastre；災難；substantivo masculino；O desastre natural devastou a região.；desastre em
escarumba；困難；substantivo feminino；A vida é uma escarumba que temos de enfrentar.；escarumba de
fungo；黴菌；substantivo masculino；O fungo danificou a parede.；fungo em
garrido；裝飾華麗的；adjetivo；O vestido garrido era adequado para o carnaval.；garrido para
impressão digital；指紋；substantivo feminino；As impressões digitais são únicas em cada pessoa.；impressão digital de
lançar；發起；verbo transitivo；Lançou o desafio aos colegas.；lançar um
murro；拳頭；substantivo masculino；Deu um murro na mesa de raiva.；murro em
nódoa negra；瘀青；substantivo feminino；Tinha uma nódoa negra no braço.；nódoa negra de
obsessivo；強迫性的；adjetivo；O seu comportamento obsessivo preocupava a família.；obsessivo por
pardaus；pardais的複數；substantivo masculino plural；Os pardaus bicavam as migalhas.；pardaus de
reivindicação；要求、主張；substantivo feminino；As reivindicações dos trabalhadores foram atendidas.；reivindicação de
sanear；清理、整治；verbo transitivo；É preciso sanear as finanças públicas.；sanear as
tamanco；木屐；substantivo masculino；O tamanco fazia barulho no chão de pedra.；tamanco de
uviar；下雨、下雨；verbo intransitivo；Termo regional para chover.；uviar em
vergão；鞭痕；substantivo masculino；Tinha vergões nas costas da surra.；vergão de
advogado；律師；substantivo masculino；O advogado defendeu o cliente com eloquência.；advogado de
brincadeira；玩笑、遊戲；substantivo feminino；Era só uma brincadeira, não te ofendas.；brincadeira de
chouriço；香腸；substantivo masculino；O chouriço português é famoso.；chouriço de
desatar；解開、開始；verbo transitivo；Desatou a chorar sem motivo aparente.；desatar a
escarumba；labirinto；substantivo feminino；A burocracia é uma escarumba.；escarumba de
fungo；菌類；substantivo masculino；Os fungos decompõem a matéria orgânica.；fungo como
garridice；花枝招展；substantivo feminino；A sua garridice era vista como falta de bom gosto.；garridice de
impressionante；令人印象深刻的；adjetivo；O resultado do exame foi impressionante.；impressionante para
lançar；投；verbo transitivo；Lançou o anzol na água.；lançar o
mútuo；相互的；adjetivo；O respeito mútuo é a base da relação.；mútuo entre
nódoa；污點；substantivo feminino；A nódoa de gordura não saiu do tecido.；nódoa de
obsoleto；廢棄的；adjetivo；O sistema obsoleto precisa de ser atualizado.；obsoleto para
pardal；麻雀；substantivo masculino；O pardal é uma ave comum em Portugal.；pardal como
reivindicatório；要求權益的；adjetivo；O discurso reivindicatório inflamou a multidão.；reivindicatório para
sanear；淨化；verbo transitivo；Sanearam a empresa de elementos corruptos.；sanear de
tamanco；木屐；substantivo masculino；Os taman cos eram usados no campo.；tamanco de
vacilar；猶豫、動搖；verbo intransitivo；Não vacilou perante a adversidade.；vacilar em
vergastada；鞭笞；substantivo feminino；As vergastadas do destino foram duras.；vergastada de
aérvoro；食蟻的；adjetivo；O tamanduá é um animal aérvoro.；aérvoro como
brindar；祝酒、贈送；verbo transitivo；Brindaram à felicidade do casal.；brindar a
chouto；小跑；substantivo masculino；Cavalgava a chouto pela planície.；a chouto
desatino；荒唐、瘋狂；substantivo masculino；Cometeu um desatino por ciúmes.；desatino de
escarumba；embaraço；substantivo feminino；Meteu-se numa escarumba ao mentir.；escarumba de
fungoso；海綿狀的；adjetivo；O bolo ficou fungoso e leve.；fungoso como
garrido；colorido；adjetivo；Os pássaros garridos encantam os observadores.；garrido de
impressionar；給…留下印象；verbo transitivo；A sua atuação impressionou o júri.；impressionar com
lançar；開始；verbo transitivo；Lançou o novo projeto com entusiasmo.；lançar-se em
muxoxo；嘖嘖聲；substantivo masculino；Fez um muxoxo de desaprovação.；muxoxo de
nogal；核桃樹；substantivo masculino；O nogal do quintal já dava frutos.；nogal de
obsolecência；過時；substantivo feminino；A obsolecência dos equipamentos é inevitável.；obsolecência de
pardaloca；麻雀（增強詞）；substantivo feminino；Usado em contexto popular.；pardaloca de
rejeição；拒絕；substantivo feminino；A rejeição do projeto foi um golpe duro.；rejeição de
sanefa；裝飾邊；substantivo feminino；A sanefa combinava com os cortinados.；sanefa de
tampa；蓋子；substantivo feminino；A tampa do frasco não abria.；tampa de
vacina；疫苗；substantivo feminino；A vacina é essencial para a saúde pública.；vacina contra
vergastar；鞭打；verbo transitivo；Vergastou o cavalo para acelerar.；vergastar em
afã；努力、著急；substantivo masculino；Trabalhava com afã para terminar a obra.；afã de
brinquedo；玩具；substantivo masculino；A criança brincava com o seu brinquedo favorito.；brinquedo de
chouto；和緩的；adjetivo；O passo chouto do cavalo era confortável.；chouto como
desavença；分歧、不和；substantivo feminino；Houve uma desavença entre os dois irmãos.；desavença entre
escarumba；trapalhada；substantivo feminino；Que escarumba em que se meteu!；escarumba de
fungueira；fungo；substantivo feminino；A fungueira na madeira estava a alastrar.；fungueira de
garridice；ornamentação；substantivo feminino；A garridice da decoração era de mau gosto.；garridice de
improbidade；不正直、不誠實；substantivo feminino；A improbidade do funcionário levou à sua demissão.；improbidade de
lançar；發出；verbo transitivo；Lançou um grito de socorro.；lançar um
nabo；蕪菁；substantivo masculino；O nabo é um legume muito nutritivo.；nabo de
obstáculo；障礙；substantivo masculino；Superou todos os obstáculos no caminho.；obstáculo a
pardau；pardal；substantivo masculino；O pardau é uma espécie protegida.；pardau de
rejeitar；拒絕；verbo transitivo；Rejeitou a proposta sem pensar.；rejeitar a
sanefa；barra；substantivo feminino；A sanefa da cortina era de renda.；sanefa de
tampa；tampo；substantivo feminino；A tampa da mesa partiu-se.；tampa de
vacilação；猶豫；substantivo feminino；A sua vacilação custou-lhe a oportunidade.；vacilação em
verga；vara；substantivo feminino；A verga de marmelo era usada para bater.；verga de
afagar；撫摸、愛撫；verbo transitivo；Afagou o cão com carinho.；afagar com
brisa；微風；substantivo feminino；A brisa suave refrescava a tarde.；brisa de
chouto；trote；substantivo masculino；O cavalo ia a chouto pelo caminho.；a chouto
desbaratar；浪費、糟蹋；verbo transitivo；Desbaratou toda a herança em jogos.；desbaratar em
escarumba；problema；substantivo feminino；Estava metido numa escarumba dos diabos.；escarumba de
fungo；bolor；substantivo masculino；O fungo no pão tornou-o impróprio.；fungo em
garrido；vistoso；adjetivo；O pavão é uma ave garrida.；garrido como
improdutivo；不生產的；adjetivo；O terreno imprudutivo foi vendido.；improdutivo para
lançar；gestar；verbo transitivo；Lançou a ideia durante a reunião.；lançar a
ab-rogar；廢除、取消；verbo transitivo；O parlamento ab-rogou a lei antiquada.；ab-rogar a
benesse；恩惠、福利；substantivo feminino；A benesse concedida pelo governo beneficiou os mais pobres.；benesse de
colosso；巨像、巨人；substantivo masculino；O colosso de mármore dominava a praça central.；colosso de
dissidência；異議、分歧；substantivo feminino；A dissidência interna enfraqueceu o partido.；dissidência em
exequível；可行的；adjetivo；O plano é tecnicamente exequível.；exequível com
hermético；密封的、晦澀的；adjetivo；O texto hermético do filósofo era difícil de interpretar.；hermético para
injunção；命令、強制；substantivo feminino；Recebeu uma injunção judicial para suspender as obras.；injunção de
legista；法律專家；substantivo masculino；O legista interpretou a cláusula do contrato.；legista de
meca；聖地、中心；substantivo feminino；Paris é a meca da moda mundial.；meca de
nodoar；弄髒、玷污；verbo transitivo；O escândalo nodoou a sua reputação.；nodoar com
obumbração；陰影、模糊；substantivo feminino；A obumbração das ideias dificultava o debate.；obumbração de
percutir；敲擊、探討；verbo transitivo；O jornalista percutiu o assunto na entrevista.；percutir sobre
quarentena；隔離；substantivo feminino；O navio ficou em quarentena no porto.；quarentena de
recular；後退、退縮；verbo intransitivo；O exército reculou perante a superioridade do inimigo.；recular perante
sindicância；調查、審查；substantivo feminino；A sindicância interna revelou irregularidades.；sindicância de
temerário；魯莽的、輕率的；adjetivo；A sua decisão temerária custou-lhe caro.；temerário em
vindicar；報復、辯護；verbo transitivo；Vindicou a sua honra perante o tribunal.；vindicar-se de
alforriar；解放、釋放；verbo transitivo；O senhor alforriou todos os seus escravos.；alforriar de
bilateral；雙邊的；adjetivo；O acordo bilateral fortaleceu as relações comerciais.；bilateral entre
cominação；威脅、懲罰；substantivo feminino；A cominação de sanções não os intimidou.；cominação de
dissimular；隱藏、偽裝；verbo transitivo；Dissimulou a sua tristeza com um sorriso.；dissimular com
exequibilidade；可行性；substantivo feminino；A exequibilidade do projeto foi posta em causa.；exequibilidade de
hiato；間隙、中斷；substantivo masculino；Houve um hiato de dois anos na sua carreira.；hiato entre
injunção；禁令；substantivo feminino；O tribunal emitiu uma injunção contra a publicação.；injunção contra
legitimidade；合法性；substantivo feminino；A legitimidade do governo foi questionada.；legitimidade de
medrar；成長、繁榮；verbo intransitivo；A empresa medrou sob a nova gestão.；medrar com
nódoa；污點；substantivo feminino；A nódoa da traição manchou-lhe a alma.；nódoa de
obviar；排除、避免；verbo transitivo；É urgente obviar a esta situação.；obviar a
perdulário；揮霍的、浪費的；adjetivo；O seu estilo de vida perdulário levou-o à falência.；perdulário com
quarentenário；四十天的；adjetivo；O período quarentenário foi respeitado.；quarentenário de
recusa；拒絕；substantivo feminino；A sua recusa em colaborar surpreendeu a todos.；recusa em
sindicalista；工會主義者；substantivo masculino；O sindicalista defendeu os direitos dos trabalhadores.；sindicalista de
témpano；鼓膜、鼓；substantivo masculino；O som ensurdecedor rompeu-lhe o témpano.；témpano de
vingança；復仇；substantivo feminino；A vingança é um prato que se come frio.；vingança de
alvitre；建議；substantivo masculino；O seu alvitre foi bem recebido pela assembleia.；alvitre de
bisonho；笨拙的、無經驗的；adjetivo；O soldado bisonho ainda não sabia manusear a arma.；bisonho em
cominação；警告；substantivo feminino；A cominação divina era tema recorrente nos sermões.；cominação de
dissipar；驅散、浪費；verbo transitivo；Dissipou todas as dúvidas com a sua explicação.；dissipar as
exequível；實行的；adjetivo；O projeto não é exequível com os recursos atuais.；exequível com
hibernar；冬眠；verbo intransitivo；Alguns animais hibernam durante o inverno.；hibernar em
injustiçado；受冤屈的；adjetivo；O injustiçado funcionário recorreu ao tribunal.；injustiçado por
legitimar；使合法化；verbo transitivo；O parlamento legitimou a nova constituição.；legitimar com
medida；措施；substantivo feminino；Tomaram medidas drásticas para conter a crise.；medida de
nomear；任命、提名；verbo transitivo；O presidente nomeou um novo ministro.；nomear para
obumbrar；遮蔽、使模糊；verbo transitivo；A névoa obumbrava a paisagem.；obumbrar com
peremptório；絕對的、果斷的；adjetivo；A sua resposta peremptória não admitiu réplica.；peremptório em
quarentena；隔離期；substantivo feminino；A quarentena foi prolongada por mais duas semanas.；quarentena de
recusar；拒絕；verbo transitivo；Recusou terminantemente a proposta.；recusar a
singelo；簡單的、樸素的；adjetivo；Vivia uma vida singela no campo.；singelo em
tenaz；牢固的；adjetivo；O aperto tenaz do alicate não largava o parafuso.；tenaz como
vinculativo；有約束力的；adjetivo；O contrato é vinculativo para ambas as partes.；vinculativo para
amalgamar；合併、融合；verbo transitivo；As duas empresas amalgamaram-se para formar uma multinacional.；amalgamar-se com
boçal；粗魯的、愚笨的；adjetivo；O seu comportamento boçal era constrangedor.；boçal como
cominação；天罰；substantivo feminino；Na mitologia, a cominação dos deuses era temida.；cominação de
dissipação；揮霍、放蕩；substantivo feminino；A dissipação dos seus bens levou à ruína.；dissipação de
exéquias；葬禮；substantivo feminino plural；As exéquias do falecido realizaram-se na catedral.；exéquias de
hidrópico；水腫的、貪婪的；adjetivo；O político hidrópico de poder nunca estava satisfeito.；hidrópico de
injunção；強制令；substantivo feminino；A injunção judicial proibiu a demolição do edifício.；injunção para
legitimista；正統主義者；substantivo masculino；O legitimista defendia a monarquia tradicional.；legitimista de
meditação；冥想；substantivo feminino；A meditação diária acalma a mente.；meditação sobre
nomeação；任命；substantivo feminino；A sua nomeação para o cargo foi unânime.；nomeação para
obus；榴彈炮；substantivo masculino；O obus disparou contra as posições inimigas.；obus de
perfilhar；採納、收養；verbo transitivo；O partido perfilhou as propostas do movimento.；perfilhar as
quarentão；四十歲的人；substantivo masculino；O quarentão decidiu mudar de carreira.；quarentão como
recuso；拒絕；substantivo masculino；O recuso do pedido foi oficial.；recuso de
singradura；航行；substantivo feminino；A singradura do navio durou três meses.；singradura de
tendência；趨勢、傾向；substantivo feminino；Há uma tendência crescente para o teletrabalho.；tendência para
vinculado；有聯繫的；adjetivo；O resultado está vinculado ao esforço investido.；vinculado a
ambivalência；矛盾心理；substantivo feminino；Sentia ambivalência em relação à mudança.；ambivalência em relação a
boçalidade；粗魯；substantivo feminino；A boçalidade do comentário chocou os presentes.；boçalidade de
cominatoriamente；威脅地；advérbio；Falou cominatoriamente com os subordinados.；cominatoriamente com
dissipado；揮霍的、放蕩的；adjetivo；O jovem dissipado gastou toda a fortuna.；dissipado como
exibicionismo；暴露癖、炫耀；substantivo masculino；O seu exibicionismo intelectual cansava os colegas.；exibicionismo de
hierarquia；等級制度；substantivo feminino；A hierarquia da empresa era rígida.；hierarquia de
injusto；不公平的；adjetivo；A decisão foi considerada injusta pelos afetados.；injusto para
legitimação；合法化；substantivo feminino；A legitimação do regime dependia do reconhecimento internacional.；legitimação de
medrar；crescer；verbo intransitivo；A planta medrava à sombra da árvore.；medrar em
nomeada；名聲；substantivo feminino；A sua nomeada como advogado precedia-o.；nomeada de
obsoleto；ultrapassado；adjetivo；O método obsoleto foi substituído por técnicas modernas.；obsoleto para
perfil；perfil；substantivo masculino；O perfil do candidato impressionou os recrutadores.；perfil de
quarentena；isolamento；substantivo feminino；Os animais em quarentena não podiam ser visitados.；quarentena de
redarguir；replicar；verbo transitivo；Redarguiu com veemência às acusações.；redarguir a
sinhá；senhora；substantivo feminino；Termo brasileiro para senhora, usado em contexto histórico.；sinhá de
tender；tender；verbo intransitivo；Os preços tendem a aumentar nesta época.；tender para
vindicativo；vingativo；adjetivo；O seu espírito vindicativo não o deixava perdoar.；vindicativo com
ambíguo；ambiguo；adjetivo；A sua resposta ambígua não esclareceu nada.；ambíguo em
boémio；boémio；adjetivo；Vivia uma vida boémia, sem preocupações materiais.；boémio como
cominatoriamente；ameaçadoramente；advérbio；O juiz olhou cominatoriamente para o réu.；cominatoriamente para
dissipador；esbanjador；adjetivo；O seu estilo dissipador de vida preocupava a família.；dissipador de
exibido；exibido；adjetivo；O miúdo exibido queria chamar a atenção.；exibido como
hierático；hierático；adjetivo；A sua postura hierática impunha respeito.；hierático como
injustiça；injustiça；substantivo feminino；A injustiça social deve ser combatida.；injustiça contra
legitimar；legalizar；verbo transitivo；O governo legitimou as uniões de facto.；legitimar as
medrar；desenvolver-se；verbo intransitivo；A ideia medrou na sua mente ao longo dos anos.；medrar em
nomeada；reputação；substantivo feminino；A sua nomeada de bom profissional era merecida.；nomeada de
obsoleto；antiquado；adjetivo；O equipamento obsoleto foi vendido como sucata.；obsoleto para
perfilhar；adotar；verbo transitivo；O conselho perfilhou a recomendação do relatório.；perfilhar a
querelar；disputar；verbo intransitivo；As duas famílias querelavam há gerações.；querelar com
redarguir；retorquir；verbo transitivo；O advogado redarguiu com provas irrefutáveis.；redarguir com
sinhá；tratamento；substantivo feminino；A sinhá da casa grande tratava os escravos com dureza.；sinhá de
tendência；propensão；substantivo feminino；Tem tendência para exagerar os factos.；tendência para
abnegado；克己的、無私的；adjetivo；O seu trabalho abnegado pelos pobres era notório.；abnegado em
benfazejo；慈善的、有益的；adjetivo；A ação benfazeja da fundação ajudou milhares.；benfazejo para
comparticipar；分擔、參與；verbo transitivo；Os cidadãos comparticipam no financiamento do serviço público.；comparticipar em
dissuadir；勸阻、制止；verbo transitivo；Tentou dissuadi-lo de tomar essa decisão.；dissuadir de
eximir；免除、豁免；verbo transitivo；O tribunal eximiu-o de culpa.；eximir de
hierático；神職的、祭司的；adjetivo；A linguagem hierática dos documentos sagrados era complexa.；hierático como
injustificável；不可原諒的；adjetivo；O seu erro foi injustificável.；injustificável em
legitimário；合法繼承人；substantivo masculino；O legitimário recebeu a sua parte da herança.；legitimário de
medrar；prosperar；verbo intransitivo；O negócio medrou apesar da crise.；medrar com
nomeada；fama；substantivo feminino；A sua nomeada de génio era incontestável.；nomeada de
obsoleto；desatualizado；adjetivo；O software obsoleto representava um risco de segurança.；obsoleto para
perfilhar；abraçar；verbo transitivo；O artista perfilhou novas tendências estéticas.；perfilhar as
querelante；queixoso；substantivo masculino；O querelante apresentou a sua queixa em tribunal.；querelante de
redarguir；responder；verbo transitivo；Redarguiu prontamente às perguntas do jornalista.；redarguir a
sinhá；dama；substantivo feminino；A sinhá vestia-se com elegância para o baile.；sinhá de
tenebroso；黑暗的、恐怖的；adjetivo；O ambiente tenebroso do porão metia medo.；tenebroso como
vinculação；關聯、聯繫；substantivo feminino；Há uma vinculação clara entre as duas variáveis.；vinculação entre
amiúde；頻繁地；advérbio；Amiúde, as melhores ideias surgem quando menos se espera.；amiúde com
borracho；小斑鳩、喝醉的；adjetivo；O borracho tombou na rua depois da festa.；borracho como
complacente；寬容的、自滿的；adjetivo；O professor complacente não exigia nada dos alunos.；complacente com
distensão；放鬆、緩和；substantivo feminino；A distensão política entre os países foi bem recebida.；distensão entre
eximir-se；逃避、規避；verbo pronominal；Não pode eximir-se das suas responsabilidades.；eximir-se de
hieróglifo；象形文字；substantivo masculino；Os hieróglifos egípcios fascinam os arqueólogos.；hieróglifo de
injustificadamente；不公平地；advérbio；Foi injustificadamente acusado do crime.；injustificadamente por
legitimidade；legitimacy；substantivo feminino；A legitimidade da sua reclamação foi reconhecida.；legitimidade de
medrar；crescer forte；verbo intransitivo；A criança medrava saudável no campo.；medrar em
nomear；designar；verbo transitivo；Nomearam-no representante da turma.；nomear para
obstante；apesar de；preposição；Obstante as dificuldades, conseguiu terminar o trabalho.；obstante de
perfilhar；adotar ideia；verbo transitivo；A empresa perfilhou uma política de sustentabilidade.；perfilhar uma
querelante；demandante；adjetivo；A parte querelante apresentou novas provas.；querelante em
redarguição；réplica；substantivo feminino；A sua redarguição foi brilhante e convincente.；redarguição a
sinhá；senhora；substantivo feminino；Termo usado no Brasil colonial.；sinhá de
tenebrosidade；obscuridade；substantivo feminino；A tenebrosidade da noite assustava as crianças.；tenebrosidade de
vinculo；vínculo；substantivo masculino；O vínculo entre eles era inquebrável.；vínculo entre
amoral；amoral；adjetivo；A sua postura amoral preocupava os colegas.；amoral em
borracheira；bebedeira；substantivo feminino；A borracheira do condutor causou o acidente.；borracheira de
complexidade；complexidade；substantivo feminino；A complexidade do problema exigiu uma análise profunda.；complexidade de
distinguir；distinguir；verbo transitivo；É importante distinguir entre facto e opinião.；distinguir entre
eximível；isento；adjetivo；O imposto não é eximível neste caso.；eximível de
higienista；higienista；substantivo masculino；O higienista recomendava medidas de saúde pública.；higienista de
injustificável；imperdoável；adjetivo；A sua ausência foi injustificável.；injustificável em
legitimar；validar；verbo transitivo；O teste legitimou a sua teoria.；legitimar com
medrar；florescer；verbo intransitivo；A amizade entre eles medrou com o tempo.；medrar em
nomeação；designação；substantivo feminino；A nomeação do novo diretor foi aprovada.；nomeação para
obstinação；teimosia；substantivo feminino；A obstinação do político impedia qualquer acordo.；obstinação em
perfilhar；apadrinhar；verbo transitivo；O mestre perfilhou o jovem aprendiz.；perfilhar como
querelar；litigar；verbo intransitivo；Os vizinhos querelavam por causa do barulho.；querelar por
redarguir；tornar；verbo transitivo；Redarguiu dizendo que não era verdade.；redarguir que
sinhá；tratamento respeitoso；substantivo feminino；A sinhá era respeitada por todos na fazenda.；sinhá de
tendente；que tende；adjetivo；Medidas tendentes a melhorar a situação foram adotadas.；tendente a
vinculativo；obrigatório；adjetivo；O parecer não é vinculativo.；vinculativo para
anacrónico；anacrónico；adjetivo；O seu comportamento anacrónico causava estranheza.；anacrónico em
borralheiro；que gosta de estar ao borralho；adjetivo；O gato borralheiro dormia junto à lareira.；borralheiro como
complício；conluio；substantivo masculino；Agiam em complício para enganar os clientes.；complício de
distorcer；distorcer；verbo transitivo；Os meios de comunicação distorceram os factos.；distorcer a
eximir；poupar；verbo transitivo；A sua confissão não o eximiu da punição.；eximir de
himenal；himeneal；adjetivo；A cerimónia himenal decorreu na catedral.；himenal de
injusto；iníquo；adjetivo；O mundo é injusto para muitos.；injusto com
legitimista；monárquico；substantivo masculino；O legitimista recusava aceitar a república.；legitimista de
medrar；vingar；verbo intransitivo；A revolução medrou entre os descontentes.；medrar entre
nomear；eleger；verbo transitivo；Nomearam-no para o cargo de presidente.；nomear para
obstinado；teimoso；adjetivo；O aluno obstinado recusava-se a aceitar ajuda.；obstinado em
perfilhar；patrocinar；verbo transitivo；A fundação perfilhou o projeto cultural.；perfilhar o
querelar；discutir；verbo intransitivo；Não vale a pena querelar por ninharias.；querelar por
redarguição；resposta；substantivo feminino；A sua redarguição foi curta e direta.；redarguição a
sino；sino；substantivo masculino；O sino da igreja tocou ao meio-dia.；sino de
tendente；propenso；adjetivo；O sistema é tendente ao erro se não for calibrado.；tendente a
vindicar；reivindicar；verbo transitivo；O povo vindicou os seus direitos.；vindicar os
antagonismo；對立、敵對；substantivo masculino；O antagonismo entre as duas facções paralisou o parlamento.；antagonismo entre
benigno；良性的、仁慈的；adjetivo；O tumor era benigno e não havia motivo para preocupação.；benigno para
comprazimento；滿足、愉快；substantivo masculino；O comprazimento do artista com a obra era evidente.；comprazimento em
dissuasor；威懾的；adjetivo；O efeito dissuasor da pena de morte é questionável.；dissuasor para
eximibilidade；可豁免性；substantivo feminino；A eximibilidade da taxa foi concedida pelo juiz.；eximibilidade de
hirsuto；hirsuto；adjetivo；O aspeto hirsuto do mendigo comovia os transeuntes.；hirsuto como
injunção；intimação；substantivo feminino；A injunção judicial foi cumprida imediatamente.；injunção para
legítima；legítima；substantivo feminino；A legítima do herdeiro correspondia a metade da herança.；legítima de
medrar；fortalecer；verbo intransitivo；A economia do país medrou após as reformas.；medrar com
nomear；intitular；verbo transitivo；Nomeou o filho como seu sucessor.；nomear como
obstáculo；entrave；substantivo masculino；O maior obstáculo ao progresso é a ignorância.；obstáculo aaçambarcar；壟斷；verbo；A empresa tentou açambarcar todo o mercado dos combustíveis.；açambarcar algo
aceder；同意；verbo；O Ministro acedeu ao pedido de reunião urgente.；aceder a algo
acervo；收藏；nome masculino；O museu possui um acervo documental riquíssimo.；acervo de algo
aclarar；澄清；verbo；É necessário aclarar estes equívocos antes da reunião.；aclarar algo
aconselhável；可取的；adjetivo；É aconselhável ler o contrato antes de assinar.；ser aconselhável fazer algo
acréscimo；增加；nome masculino；Houve um acréscimo significativo na factura da electricidade.；acréscimo de algo
